cylinders;displacement;horsepower;weight;acceleration;model_year;origin;mpg
4.00;135000.00;84000.00;2525000.00;16000.00;82.00;1.00;29000.00
4.00;151000.00;90000.00;2735000.00;18000.00;82.00;1.00;27000.00
4.00;140000.00;92000.00;2865000.00;16400.00;82.00;1.00;24000.00
4.00;105000.00;74000.00;1980000.00;15300.00;82.00;2.00;36000.00
4.00;91000.00;68000.00;2025000.00;18200.00;82.00;3.00;37000.00
4.00;91000.00;68000.00;1970000.00;17600.00;82.00;3.00;31000.00
4.00;105000.00;63000.00;2125000.00;14700.00;82.00;1.00;38000.00
4.00;98000.00;70000.00;2125000.00;17300.00;82.00;1.00;36000.00
4.00;120000.00;88000.00;2160000.00;14500.00;82.00;3.00;36000.00
4.00;107000.00;75000.00;2205000.00;14500.00;82.00;3.00;36000.00
4.00;108000.00;70000.00;2245.00;16900.00;82.00;3.00;34000.00
4.00;91000.00;67000.00;1965000.00;15000.00;82.00;3.00;38000.00
4.00;91000.00;67000.00;1965000.00;15700.00;82.00;3.00;32000.00
4.00;91000.00;67000.00;1995000.00;16200.00;82.00;3.00;38000.00
6.00;181000.00;110000.00;2945000.00;16400.00;82.00;1.00;25000.00
6.00;262000.00;85000.00;3015000.00;17000.00;82.00;1.00;38000.00
4.00;156000.00;92000.00;2585000.00;14500.00;82.00;1.00;26000.00
6.00;232000.00;112000.00;2835.00;14700.00;82.00;1.00;22000.00
4.00;144000.00;96000.00;2665000.00;13900.00;82.00;3.00;32000.00
4.00;135000.00;84000.00;2370000.00;13000.00;82.00;1.00;36000.00
4.00;151000.00;90000.00;2950000.00;17300.00;82.00;1.00;27000.00
4.00;140000.00;86000.00;2790000.00;15600.00;82.00;1.00;27000.00
4.00;97000.00;52000.00;2130000.00;24600.00;82.00;2.00;44000.00
4.00;135000.00;84000.00;2295000.00;11600.00;82.00;1.00;32000.00
4.00;120000.00;79000.00;2625000.00;18600.00;82.00;1.00;28000.00
4.00;119000.00;82000.00;2720000.00;19400.00;82.00;1.00;31000.00
